ESRB_rating,average_user_score,developer,genres,metascore,platform,publisher,release_date,summary,title,url
E,6.2,Digital Eclipse,"Miscellaneous, Compilation",66.0,PlayStation 2,Atari,"Nov 22, 2004","For video game console owners, no better value exists than Atari Anthology, which features 85 games that started a revolution, including 18 arcades games such as Asteroids, Battlezone, Missile Command, and Pong; 62 Atari 2600 games including Gravitar, Millipede and Super Breakout and five bonus titles, such as Off the Wall, Blackjack, Desert Falcon, Steeplechase and Sprintmaster. Adding an innovative twist to each game are new Challenge Modes such as the psychedelic Trippy Mode, Time Warp and Double Speed, all of which push player's skills to the extreme, while a new 3D interface offers a polished portal into all the games. Atari Anthology spans an impressive array of game categories, including Arcade Originals, 2600 Arcade Games and 2600 Adventure Games, as well as numerous offerings in the Action, Sports, Mind, Casino, Racing and Space genres. [Atari]",Atari Anthology,https://www.metacritic.com/game/playstation-2/atari-anthology
T,6.8,Saber Interactive,"Action, General",66.0,PlayStation 4,Saber Interactive,"Oct  4, 2019","The Ghostbusters video game is back and remastered. Strap on your proton pack once again and join the Ghostbusters on the adventure with the voice and likeness of the original crew as you battle to save New York. The game features the voices and in-game likenesses of Bill Murray, Dan Aykroyd, Harold Ramis, and Ernie Hudson in an original story penned by the writers of the original films - Dan Aykroyd and Harold Ramis. Experience unique ghost hunting, wrangling and trapping with upgradeable weapons in widely destructible environments. Test the team's mettle with large scale boss fights. Play through a unique storyline as the player battles and captures ghosts - both well-loved and brand new - throughout New York. [Epic]",Ghostbusters: The Video Game Remastered,https://www.metacritic.com/game/playstation-4/ghostbusters-the-video-game-remastered
M,7.6,Darkworks,"Action Adventure, Horror, Horror, Survival",66.0,PC,Ubisoft,"May 17, 2005","Cold Fear is the first action-horror title under the Ubisoft brand. The game is set in a dynamic environment on a stormy sea, including intense combat, intelligent enemies, and a high element of the shockingly unexpected. Your life jacket won't be sufficient. Players step into the role of Tom Hansen, a U.S. Coast Guard who is sent to board a drifting Russian whaling ship in the middle of a howling storm on the Bering Sea, who will discover there is no safe place here. On this constantly rocking and shifting ship and a mysterious oil rig, players must turn their interactive surroundings to their advantage to take down human enemies ? and enemies that aren't human any more - and save their own life. [Ubisoft]",Cold Fear,https://www.metacritic.com/game/pc/cold-fear
T,5.8,Gaijin Entertainment,"Simulation, Flight, Helicopter, Helicopter, Combat",66.0,PlayStation 3,Activision,"Nov 16, 2010","Apache: Air Assault features more than 16 multi-stage missions involving air and ground strike operations off the coast of Africa, the mountains of the Middle East and the jungles of Central America, each meticulously created using high resolution map data from real-world satellite photography. Apache helicopters are some of the most sophisticated combat aircraft on the planet - the player gets to fly multiple variations of them, each with their own extreme firepower and highly-detailed damage modeling.  ",Apache: Air Assault,https://www.metacritic.com/game/playstation-3/apache-air-assault
E,4.4,"Monster Games Inc., Dusenberry Martin Racing","Racing, Simulation, Automobile",66.0,PlayStation 4,Dusenberry Martin Racing,"Sep 13, 2016","Gameplay modes include Race, Challenges, Season, Chase, Online, and Career. In Career, customize your own NASCAR Sprint Cup Series driver. From the high banks of Talladega to the tight turns in Martinsville, each of the 23 licensed NASCAR tracks have been recreated in conjunction with track owners. NASCAR Heat Evolution offers 43 different drivers from the most popular race teams including Stewart-Haas Racing, Joe Gibbs Racing, Hendrick Motorsports, Team Penske, Chip Ganassi, and others.",NASCAR Heat Evolution,https://www.metacritic.com/game/playstation-4/nascar-heat-evolution
T,4.0,"Sony Online Entertainment, Daybreak Games","Action, Action Adventure, Shooter, Survival, First-Person, Third-Person, Tactical, Arcade",66.0,PlayStation 4,Sony Online Entertainment,"Aug  7, 2018","H1Z1 is a fast-paced, highly competitive, battle royale shooter. Parachute in and search for weapons, ammo, vehicles and supplies to stay alive. As a toxic gas cloud compresses the map, develop your strategy and prepare for the spectacle of mayhem. Go solo or group with a team of two or five to be the last ones standing. Now Free To Play!",H1Z1: Battle Royale,https://www.metacritic.com/game/playstation-4/h1z1-battle-royale
,6.3,Telltale Games,"Adventure, 3D, Third-Person",66.0,PC,Telltale Games,"Mar 29, 2016",,The Walking Dead: Michonne - Episode 2: Give No Shelter,https://www.metacritic.com/game/pc/the-walking-dead-michonne---episode-2-give-no-shelter
,2.8,Tale of Tales,"Modern, Adventure, 3D, First-Person",66.0,PC,Tale of Tales,"May 21, 2015",,Sunset,https://www.metacritic.com/game/pc/sunset
E,7.5,Blitz Games Studios,"Action, Simulation, General, General, Virtual, Pet",66.0,Xbox 360,THQ,"Apr 12, 2011",,Fantastic Pets,https://www.metacritic.com/game/xbox-360/fantastic-pets
T,7.2,Tigon,"Driving, Racing, Mission-based, Arcade, Mission-based, Automobile",66.0,PlayStation 3,Ubisoft,"Mar 24, 2009","Wheelman takes gamers on a white knuckle thrill ride that unfolds throughout the streets of Barcelona. Featuring car chases inspired by Hollywood's most famous action-sequences, Wheelman delivers powerful cinematic moments throughout the game's compelling storyline. Vin Diesel stars as an undercover agent and highly skilled driver who must infiltrate the Barcelona underworld to gather intelligence surrounding a covert heist. Posing as a driver-for-hire, he ends up caught in a crossfire of corruption and chaos while trying to stay one step ahead of local law enforcement and rival gangs. [Midway]",Wheelman,https://www.metacritic.com/game/playstation-3/wheelman
E,6.8,"Rare Ltd., BigPark","Sports, General, General",66.0,Xbox 360,Microsoft Game Studios,"Oct 25, 2011","""Kinect Sports: Season Two"" pulls the whole family off the couch and turns your living room into a world-class sports arena where intuitive, full-body gameplay and friendly competition reign supreme. Following the top-selling and award-winning ""Kinect Sports: Season Two,"" the second season amps up the action and delivers sporting gameplay like you’ve never seen — or felt — before!",Kinect Sports: Season Two,https://www.metacritic.com/game/xbox-360/kinect-sports-season-two
T,7.2,Gust,"Role-Playing, Japanese-Style",66.0,PlayStation 4,Koei Tecmo Games,"Sep 26, 2017","Blue Reflection takes place at Hoshinomiya Girls' High School, where players assume the role of student Hinako Shirai. When Hinako's ballet career comes to an end after a tragic accident, she closes her heart off from the rest of the world. However, her life changes when she meets her new best friends, the magical Shijou twins -- Yuzu, who is adored by her classmates for her cheerful and warm personality, and Lime, who is more logical and selfish.",Blue Reflection,https://www.metacritic.com/game/playstation-4/blue-reflection
T,7.2,Capcom,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",66.0,PC,Capcom,"Jun 26, 2007","In Lost Planet, human snow pirates navigate VS (Vital Suits) through hostile ice-covered environments, fighting against the indigenous Akrid creatures for the precious thermal energy they need to survive. For one such pilot named Wayne, death almost seemed imminent until he was fortunately rescued. However, he can only remember a few fragments of his past including the slaying of his father by the monstrous beings. Yet under the veil of ice, a devious plan has been set into motion for the termination of all Akrid and snow pirates alike. What really happened to Wayne? Who is plotting the destructive scheme? Encounter valuable allies and dangerous enemies on Wayne's search for the truth. [Capcom]",Lost Planet: Extreme Condition,https://www.metacritic.com/game/pc/lost-planet-extreme-condition
T,7.2,Grasshopper Manufacture,"Action, Beat-'Em-Up",66.0,PlayStation 2,Namco Bandai Games America,"Apr 11, 2006","Samurai Champloo steps out of the hack-and-slash action genre and offers a new way to swing a finely-honed samurai blade. Set in Japan with hip hop feel from the hit TV series by the same name, this title allows gamers to breathe life to a ""lost episode"" as one of three playable characters – Mugen, a reckless samurai with break-dancing fighting style, calculated Jin who abides by the decorum of Bushido, and a mysterious new character exclusive to the video game. Stranded in northern land of Ezo (current day Hokkaido) in search of the samurai who smells of sunflowers, the player must face foreign mercenaries, master swordsmen, diabolical assassins, mythical beasts, and gangster monkeys. The core of the game's unique combat system lies in the innovative integration of music and linked attacks. The players can choose an array of combos based on the different hip hop grooves that they can swap at will. Music tracks become collectible, opening an extensive assortment of linked attacks that can be implemented tactically during combat. [Bandai]",Samurai Champloo: Sidetracked,https://www.metacritic.com/game/playstation-2/samurai-champloo-sidetracked
M,6.8,Square Enix,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",66.0,Xbox 360,Square Enix,"Nov 20, 2008","Long ago, the world was filled with Remnants — mysterious artifacts from an ancient civilization. But as time passed, the powers of the Remnants began to shift the world's balance. As the rift widened between those who ruled and those who were ruled over, a new era dawned: one of countless frays brought upon the world by those enslaved by their own lust for power. A thousand years later, the journey of one young man begins... Imagine a vast, war-torn battlefield, scarred by years of conflict. Countless enemies surround the player, who is backed up by his own army. Threatened by numerous foes and saved in the nick of time by allies, players feel the true tension of a soldier on the battlefield. In The Last Remnant, as many as seventy units duke it out at once in fierce yet beautiful battles. [Square Enix]",The Last Remnant,https://www.metacritic.com/game/xbox-360/the-last-remnant
T,7.2,Spike Chunsoft,"Action, Fighting, 3D",66.0,PlayStation 4,Bandai Namco Games,"May 31, 2016","Embark with the Straw Hat Crew and collect your bounty in this anime fighter. Use Devil Fruit abilities, Haki techniques, and punishing combos to turn the tide in the ultimate One Piece battle royale. Step into the New World with over the top head to head combat featuring all the action, drama and comedy of this infamous pirate saga.",One Piece: Burning Blood,https://www.metacritic.com/game/playstation-4/one-piece-burning-blood
T,tbd,Now Production,"Action Adventure, Modern, General, Modern",66.0,DS,Atari,"Sep 30, 2008","In Unsolved Crimes, players assume the role of a rookie detective as part of the New York police department homicide division. An aspiring model, Betsy Blake, has disappeared and a social outcast and loner is the prime suspect. The case is deeper than it appears on the surface. Crime is rampant in the city and Blake's disappearance is the latest in a frightening series of events that are slowly bringing New York to its knees. The local police department is having a hard time cracking the case and Blake's safe return lies in the detectives' hands to solve the mystery before it's too late. Unsolved Crimes integrates three gaming elements - an action game, a 3D crime investigation and a crime quiz - to provide players with a unique, absorbing experience. The game fully utilizes the DS's unique Dual Screen, allowing players to immerse themselves in the New York environments. The innovative use of the stylus allows players to trace marks, routes and memos on suspicious items discovered at crime scenes, all allowing players to move closer to solving the kidnapping mystery. The engaging storyline runs throughout the game, fully immersing players in the world of Unsolved Crimes with more than eight independent cases to solve in the diverse and fully interactive environments. [Empire Interactive]",Unsolved Crimes,https://www.metacritic.com/game/ds/unsolved-crimes
E,7.5,Delphine Software International,"Driving, Racing, Arcade, Motorcycle, Other, Motocross, Motocross",66.0,PC,Atari,"Jan 31, 2002","Weave your way through realistic downtown Paris in the never before seen Traffic mode. Features six blood-pumping racing styles, including street, motocross, supercross, freestyle, trial and traffic with 32 all-new bikes. 15 tracks immerse the player in completely different racing environments, such as Grand Prix, touring, indoor, and outdoor. [Infogrames]",Moto Racer 3,https://www.metacritic.com/game/pc/moto-racer-3
E,tbd,Killer Game,"Driving, Racing, Snow / Water",66.0,PlayStation 2,SCEA,"Oct 28, 2002","Roaring through 8 massive, exotic levels as fast as a professional watercraft rider, you're the envy of all other racers. While racing one of your highly stylized watercraft through raging rivers, turbulent rapids, massive waterfalls and hair-pin turns in far off lands such as Atlantis, the Artic, and humid South American jungles, you know you're good. But you're not alone. Your competitors know the intensity of the races. They know that this is not just a race of speed, but a test of extreme trick skill. They also know they want to beat you. They are ready for the challenge.",Jet X2O,https://www.metacritic.com/game/playstation-2/jet-x2o
E,7.1,Atari,"Action, Platformer, 3D",66.0,GameCube,Atari,"Mar 25, 2003","The man of steel faces his greatest challenge yet in Superman: Shadow of Apokolips.  Darkseid, the most evil being in the galaxy, has enlisted the aid of Lex Luthor in his quest to destroy Superman and take over the world.  As Superman, you must stop Luthor's army of Inter-Bot robots and the fearsome Metallo, who is fresh out of Strykers Island Prison.  Use all of Superman's powers through 14 enormous levels, featuring epic battles with legendary villains, including Livewire and Parasite.  The fate of the planet lies in your hands.",Superman: Shadow of Apokolips,https://www.metacritic.com/game/gamecube/superman-shadow-of-apokolips
M,7.9,Raster,"Action, Shooter, First-Person, Historic",66.0,PlayStation 2,Activision,"May 30, 2003","Engage in an epic, story-driven campaign across over 30 levels - from forests and war-torn cities to villages and crypts. Infiltrate top-secret airfields and compounds, silently assassinate enemy officers and escort caputred Panzer tanks. You are B.J. Blazkowicz, a US Army Ranger recruited by the OSA and the Allies' top specialist in covert operations, heavy weapons and assassination. Hilter's head of the SS, Heinrich Himmler, is twisting science and the occult into an army capable of annihiliating the Allies. The balance of victory is in your hands. [Activision]",Return to Castle Wolfenstein: Operation Resurrection,https://www.metacritic.com/game/playstation-2/return-to-castle-wolfenstein-operation-resurrection
T,8.4,Zono Inc.,"Strategy, Real-Time, Sci-Fi",66.0,PlayStation 2,EA Games,"Jul 30, 2003","On a cold distant planet, the war against extinction is on and your command skills will determine its outcome. Control an Alien hive, Predator clan, or lead an elite squad of Colonial Marines and fight for the survival of your race. Harness the unique advantages as an Alien, Predator or Colonial Marine to wage war in 21 single-player missions. Control one of three different races - each with its own characteristics and abilities to suit any style of play. Upgrade up to 10 different unit types of various races including new, never before seen units such as the Predator Hydra or Alien Ravager. Engage the enemy in 21 unique maps, from jungles to deserts to high-tech laboratories. Utilize powerful resources and strategies including pulse rifles, exosuits and air strikes to unleash devastating attacks on your enemies. [Electronic Arts]",Aliens Versus Predator: Extinction,https://www.metacritic.com/game/playstation-2/aliens-versus-predator-extinction
T,8.6,Bandai,"Simulation, Sci-Fi, Mech",66.0,PlayStation 2,Bandai,"Dec  5, 2003","For the first time ever, dive into the combat as your favorite 0083 character in this action-loaded space shooter. Fight your way through space, destroying enemy battleships and mobile suits, to defeat the evil dictators of the Principality of Zeon and end the One Year War. The fate of the Universal Century is in your hands - can you handle it? 70+ mobile suits and armors from 0079, 0083, Gundam Wing, G Gundam and Gundam Seed. Plus original mobile suits created especially for the game! 5 playable modes. Experience legendary Gundam battles or execute your own incredible missions. Choose from 10 of the best Ace Pilots or train and develop your own. Build your own team of mobile suits in the versus mode and battle it out with your friends - who will achieve domination over the Universal Century? [Bandai]",Mobile Suit Gundam: Encounters in Space,https://www.metacritic.com/game/playstation-2/mobile-suit-gundam-encounters-in-space
T,7.0,Backbone Emeryville,"Action, General, General",66.0,PlayStation 3,Capcom,"Jun  5, 2008","[Playstation Network]  One of the most popular arcade shooters is back with a vengeance. Wolf of the Battlefield: Commando 3 revives the classic Commando franchise with an all new adventure. Fight solo or recruit two other specialized commandos to defeat the evil tyrant, General Ratiev and his army of Zalestad soldiers. This frantic war fest combines precise, old-school gameplay with High Definition 3D graphics. Play as codename Wolf, Coyote or Fox as you take on waves of soldiers, rescue P.O.W.’s and blow up armored vehicles through a variety of dangerous battlefields. The missions become even more chaotic in 3 player local or online co-operative campaigns where the game adjusts its difficulty, so don’t let your guard down. Jump into tanks and jeeps together to boost up your firepower. With loads of weapons and power-ups at your disposal, gear up and blast your way to victory. [SCEA]",Wolf of the Battlefield: Commando 3,https://www.metacritic.com/game/playstation-3/wolf-of-the-battlefield-commando-3
E10+,4.4,"EA Redwood Shores, EA Salt Lake","Action, Shooter, Shooter, Light Gun, Light Gun",66.0,Wii,Electronic Arts,"Oct 28, 2008","Choose Your Weapons: Play with over 25 NERF Blasters including the Vulcan EBF-25, Longshot CS-6, Maverick REV-6, and many never seen before! Blast through Danger: Explore a top-secret NERF facility and unravel the mystery of the unknown threat that awaits. Multiplayer Action: Go head to head with up to 4 players using additional Wii Remotes and Switch Shot blasters. [Electronic Arts]",Nerf N-Strike,https://www.metacritic.com/game/wii/nerf-n-strike
T,6.8,NeocoreGames,"Role-Playing, Action RPG",66.0,Xbox One,NeocoreGames,"Jul  1, 2016","The incredible adventures continue, and Van Helsing, the famous monster-hunter returns to save the day again with the help of his charming, ghostly companion, Lady Katarina. The gothic metropolis of weird science is on the brink of destruction as chaos rules the streets and a new enemy plots revenge. It’s time to enter the dark side of Borgova and the forbidden wilderness, but beware: you are not the only one behind a mask.",The Incredible Adventures of Van Helsing II,https://www.metacritic.com/game/xbox-one/the-incredible-adventures-of-van-helsing-ii
E,6.8,Traveller's Tales,"Action Adventure, Sci-Fi, Sci-Fi, General",66.0,DS,LucasArts,"Mar 22, 2011","LEGO Star Wars III: The Clone Wars will include all the characters from both seasons of the hugely popular animated television series, Star Wars: The Clone Wars, as well as some fan-favorite characters from the beloved theatrical Star Wars Saga. The game will feature brand new battle modes, giving players unique, head-to-head combat and an upgraded level builder, allowing the creation of customized bases and in-game battlefields. Play either as a Jedi or Separatist with all-new character abilities, such as Squad command, Lightsaber slicing, Lightsaber jumps, long distance Jedi attacks and Grapple Tie-Ups, all within a new, easy-to-navigate hub.",LEGO Star Wars III: The Clone Wars,https://www.metacritic.com/game/ds/lego-star-wars-iii-the-clone-wars
E10+,6.6,Sony Interactive Entertainment,"Action, Shooter, Shoot-'Em-Up, Top-Down",66.0,PlayStation 4,Sony Interactive Entertainment,"Oct 10, 2016","Explode into the classic PlayStation shooter with an entirely new perspective – get ready to defend your planet once more, this time from inside the cockpit of your powerful star fighter. Get into the very center of the action and fight using intuitive controls only possible with PlayStation VR: simply look to aim… then fire to destroy. Play the original Super Stardust Ultra game modes, enhanced for PlayStation VR, and battle for global domination in the online leader boards. Will you claim the title of best Super Stardust pilot in the world? [Playstation.com]",Super Stardust Ultra VR,https://www.metacritic.com/game/playstation-4/super-stardust-ultra-vr
T,6.7,Spellbound,"Strategy, Real-Time, Historic, General, Historic",66.0,PC,Atari,"May  5, 2006","Desperados 2 is the sequel of the successful wild west title ""Desperados – Wanted Dead or Alive"".",Desperados 2: Cooper's Revenge,https://www.metacritic.com/game/pc/desperados-2-coopers-revenge
E10+,7.1,Microids,"Action, Platformer, 2D",66.0,Switch,Microids,"Dec  4, 2018","Toki sets off on a new adventure! The cult action/platform game originally released on arcade machines in 1989 is back with a super-simian new version, featuring all-new hand-drawn graphics and re-orchestrated music. Toki the warrior lived peacefully in the jungle with his sweetheart Miho. Appearing out of nowhere, the terrifying voodoo sorcerer Vookimedlo and heinous demon Bashtar kidnap Miho and turn the poor Toki into a chimpanzee! Unfortunately for his sweetheart, he has become a hairy, lethargic ape... ",Toki,https://www.metacritic.com/game/switch/toki
E,tbd,impressionware,"Miscellaneous, Puzzle, Puzzle, Puzzle, Logic, Logic",66.0,PSP,impressionware,"Oct 22, 2009",,Vempire,https://www.metacritic.com/game/psp/vempire
M,6.0,Ubisoft Shanghai,"Action Adventure, Horror, Horror, Survival",66.0,PC,Ubisoft,"Sep  6, 2012","I Am Alive thrusts you into the role of a lone survivor in a believable, dark and insecure post-apocalyptic world. One year after the Event, a worldwide cataclysmic event that wiped most of the human race, a man struggles for survival in a desolate city as he tries to reunite with his long lost wife and daughter.",I Am Alive,https://www.metacritic.com/game/pc/i-am-alive
M,8.5,Yuke's,"Action, Fighting, Wrestling",66.0,PlayStation 2,Konami,"Nov  9, 2004","Get down with Rumble Roses, the first and only all-women?s wrestling game on any platform. These wrestling beauties not only score a perfect 10,000 polygons per character, they also have all the some of the best moves and talent found in any wrestling game. But make sure to watch out for that Mud Match Mode, because these sexy vixens might get dirty. Gorgeous female models and amazing gameplay. Play in the mud with the Rumble Roses in Mud Match Mode. Develop good or bad personas to change costumes and moves. [Konami]",Rumble Roses,https://www.metacritic.com/game/playstation-2/rumble-roses
E,tbd,Remode,"Miscellaneous, Puzzle, Puzzle, Puzzle, Logic, Logic",66.0,PC,MumboJumbo,"Jan 20, 2010","The people of Molar Creek have lived alongside the region's infamous exploding moles for hundreds of years but the night before the village's annual Mole Control competition and a mystery villain has set the exploding moles loose within the town itself. It's now down to you and local inventor Dr Kraft to find the moles and reclaim Molar Creek. Mole Control is a puzzle game that brings the classic logic based game play of minesweeper into the 21st century. Pilot a crazy invention across a mind-bending adventure, or enjoy a frantic time attack challenge, all with the comical aim to rid one town of exploding moles. [Blizt]",Mole Control,https://www.metacritic.com/game/pc/mole-control
E10+,5.8,Milestone S.r.l,"Driving, Racing, Rally / Offroad",66.0,Xbox 360,Deep Silver,"Oct 20, 2010","Official locations, official rally cars and official drivers - everything in WRC FIA World Rally Championship is designed to give the player the full experience of taking part in one of the most ferocious and challenging motorsports. WRC FIA World Rally Championship features ""Road to the WRC"", an unrivalled career mode that will allow players to hit the dirt to win the ultimate championship. With advanced car tuning, stunning car damage effects and the opportunity to race against heroes of the sport, WRC FIA World Rally Championship is the closest you can get to being one of the most skilled and fearless drivers in the world.",WRC: FIA World Rally Championship,https://www.metacritic.com/game/xbox-360/wrc-fia-world-rally-championship
T,6.2,"Battlefront.com, 1C, 1C Entertainment","Strategy, Real-Time, Historic, General, Historic, Tactics",66.0,PC,Battlefront.com,"Apr 19, 2007","Theatre of War is a World War Two real-time strategy game. Theatre of War depicts authentic battles of World War II between 1939-1945. Command hundreds of different unit types in 5 historically accurate campaigns (US, UK, Soviet, German, French and Polish). This isn't just another WW2 RTS click-fest, but a Real Time Combat Simulator with an emphasis firmly entrenched on realism and detail, historical accuracy, and real world military tactics that will challenge even the most battle hardened armchair general. [Battlefront.com]",Theatre of War,https://www.metacritic.com/game/pc/theatre-of-war
M,7.3,"TimeGate Studios, Day 1 Studios","Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",66.0,Xbox 360,Sierra Entertainment,"Nov  6, 2007","F.E.A.R. Files uses combat adaptable AI to provide an intense ""action movie"" experience while keeping players engrossed in it's spine-chilling storylines. Gamers will assume the roles of an elite soldier trained in combating unusual and unimaginable situations. Called in to confront a mysterious force, the player must escape from a crisis spiraling out of control. F.E.A.R. Files contains two F.E.A.R. missions which provide the player with a unique fusion of stylized first-person shooter and supernatural suspense that will keep gamers at the edge of their seats. Includes the brand new Perseus Mandate campaign as well as the award-winning expansion pack Extraction Point. New multipayer and instant action maps, and new F.E.A.R. missions never before available on console. Engage in unpredictable encounters with combat adaptable A.I. Battle new and even more terrifying of enemies with 6 new weapons. Enhanced destructible environments. Frenetic multiplayer support for up to 16 players. [Sierra]",F.E.A.R. Files,https://www.metacritic.com/game/xbox-360/fear-files
M,5.7,ZootFly,"Action, Action Adventure, General, General, Linear",66.0,Xbox 360,505 Games,"Sep 20, 2013","A new breed of Warrior emerges, committed to destroying the enemies of freedom. No-nonsense hero Marlow never shies away from danger or trouble. But now he faces his ultimate challenge. Blasting into Central America, he has an industrial evil to defeat while bound to an ancient Mayan Death Mask who’s had no-one to talk to for 2000 years.",Marlow Briggs and the Mask of Death,https://www.metacritic.com/game/xbox-360/marlow-briggs-and-the-mask-of-death
E10+,7.3,Oxeye,"Action, Platformer, Platformer, 2D, 2D",66.0,Xbox One,Mojang AB,"Feb  2, 2016",,Cobalt,https://www.metacritic.com/game/xbox-one/cobalt
T,6.2,Terminal Reality,"Action Adventure, Sci-Fi",66.0,PlayStation 2,Majesco Games,"Nov 15, 2005","Aeon Flux is based on Peter Chung's popular futuristic MTV animated series and features a palpitating blend of stealth, speed and acrobatic combat. As beautiful as she is lethal, Aeon Flux is an agent whose abilities transcend everyday belief; she will depend upon those skills and talents to rid the city of Bregna from an evil tyranny. Paramount Pictures'/Lakeshore Entertainment's Aeon Flux is set 400 years in the future, when disease has wiped out the majority of the earth's population except for one walled, protected city-state, Bregna, ruled by a congress of scientists. The story centers on Aeon Flux (Charlize Theron), the top operative in the underground 'Monican' rebellion, led by The Handler (Frances McDormand). When Aeon is sent on a mission to kill a government leader, she uncovers a world of secrets. [Majesco]",Aeon Flux,https://www.metacritic.com/game/playstation-2/aeon-flux
M,7.2,Cranky Pants Games,"Action Adventure, Horror",66.0,Xbox,THQ,"Sep 13, 2005","Evil Dead: Regeneration takes over where the film Evil Dead 2 left off. You can play as Ash, who has been committed to an insane asylum where a mad scientist is doing experiments with the Necronomican. With the help of some firepower and your new sidekick, a 3-foot tall ""deadite,"" you can battle the scientist's unholy creations and save civilization. ",Evil Dead: Regeneration,https://www.metacritic.com/game/xbox/evil-dead-regeneration
E,tbd,Koei Canada,"Action, General, General",66.0,DS,Koei,"Oct 13, 2008","The main objective of Prey the Stars is to eat everything in sight and to attack your opponents. Each of the games colorfully-themed stages are cleared by devouring as much as possible before time runs out. The player with the highest score at the end of the stage is the winner. Each player scores points by eating and by sucking in ""spirits"" which are hidden in some objects. The bigger the item, the higher the score. Prey the Stars offers a delicious smorgasbord of multiplayer options. Gamers can feast with up to 4 friends using local Wireless DS Single-Card Download Play or Multi-Card Play. Players can also take their gastronomic conquest worldwide with Nintendo Wi-Fi Connection. Exclusive character designs for Prey the Stars were created by break-out Japanese pop artist TOUMA. The highly-respected designer is renowned for his whimsical and edgy creations including, Knuckle Bear and Boo, that have taken the urban vinyl toy industry by storm. [Koei]",Prey the Stars,https://www.metacritic.com/game/ds/prey-the-stars
E10+,5.9,"10tons Ltd, 10tons","Miscellaneous, Puzzle, Action",66.0,PlayStation Vita,10tons Ltd,"Feb  4, 2014","The primary gameplay features a single push of a button. The goal of each level is to clear the screen of tanks, soldiers and helicopters with 3 rocks or less. The King automatically picks up a boulder and swings it back and forth by his tongue, like a pendulum. The rock is released by hitting a button, and from there on it’s all about the physics. The key is to make sure each boulder takes out more than one target, and that can be ridiculously challenging. Sure, it’s easy at first… But you’ll just have to get to the later levels. [Playstation.com]",King Oddball,https://www.metacritic.com/game/playstation-vita/king-oddball
T,7.4,Artifex Mundi,"Puzzle, Hidden Object, General",66.0,Xbox One,Artifex Mundi,"Apr  8, 2016","Imagine: you wake up in the evening after a powerful storm on a road in a tiny town in the middle of nowhere, with partial short-term memory loss. Thrilling shivers down your spine remind you of dramatic events that took place just before, yet which you have no memory of…",Enigmatis: The Ghosts of Maple Creek,https://www.metacritic.com/game/xbox-one/enigmatis-the-ghosts-of-maple-creek
T,6.8,BillyGoat Entertainment Ltd,"Adventure, General",66.0,Xbox One,BillyGoat Entertainment Ltd,"Dec  7, 2016",,Her Majesty's SPIFFING,https://www.metacritic.com/game/xbox-one/her-majestys-spiffing
E,tbd,Stolen Couch Games,"Simulation, Virtual, Virtual Life",66.0,PlayStation 4,Stolen Couch Games,"Jul 31, 2018",,Castaway Paradise,https://www.metacritic.com/game/playstation-4/castaway-paradise
T,7.2,Fusionsphere Systems,"Adventure, General, General",66.0,PC,The Adventure Company,"Oct 30, 2006","Nina is torn from her day-to-day routine when she discovers that her father has disappeared without a trace. As the police seem reluctant to help her, Nina sets off to look for clues relating to her father's whereabouts. She joins efforts with Max Gruber, a young colleague of her father who impulsively offers to help the attractive young lady. Together, they quickly determine that Nina's father was involved with a research expedition to Siberia in an attempt to reveal the causes of the mysterious Tunguska catastrophe of 1908. In that mysterious event, a mighty explosion triggered an inferno that decimated the land of Tunguska. Nina and Max soon realize that her father's disappearance is related to the Tunguska event and the search for answers leads Nina and Max to the most remote corners of the world – Berlin, Moscow, Cuba, China, and the Antarctic. Powerful adversaries are also interested in Nina's father's secret. In the end, much more is at stake than just the disappearance of an old man. [DreamCatcher Interactive]",Secret Files: Tunguska,https://www.metacritic.com/game/pc/secret-files-tunguska
T,5.0,Cryptic Studios,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",66.0,Xbox One,Perfect World Entertainment,"Mar 31, 2015","Once a bustling location, Neverwinter has faced a great many disasters in the past hundred years. Rule of the city remains unclear following the unfortunate demise of the last Lord of Neverwinter and factions still battle for dominance after the all-consuming Spellplague took a high toll on the population. Even Neverwinter's dead are beginning to rise from their graves and march upon the city they once called home.",Neverwinter,https://www.metacritic.com/game/xbox-one/neverwinter
E10+,8.4,Square Enix,"Role-Playing, Action RPG",66.0,PlayStation Vita,Square Enix,"Jun 28, 2016","Enshrined atop Mt. Illusia, high above the lofty clouds, stands the Tree of Mana. Drawing its life energy from the boundless celestial aether, the sentinel grows in silence. Legend holds that he who lays his hands upon its trunk will be granted power eternal - a power the Dark Lord of Glaive now seeks to further fuel his bloody quest for domination.",Adventures of Mana,https://www.metacritic.com/game/playstation-vita/adventures-of-mana
,7.0,"AwesomeGamesStudio, Awesome Games Studio","Action, Miscellaneous, Platformer, Compilation, 2D",66.0,PC,AwesomeGamesStudio,"Sep 16, 2012",,Oozi: Earth Adventure,https://www.metacritic.com/game/pc/oozi-earth-adventure
